token	transliteration-1	transliteration-2	segmentation_trans1	segmentation_trans2	root_trans1	root_trans2
लगा	lagaa	lagaa	lag aa	lag aa	lag	lag
लगाए	lagaae	lagaae	lag aa e	lag aa e	lag	lag
लगाना	lagaanaa	lagaanaa	lag aa n aa	lag aa n aa	lag	lag
लगाया	lagaayaa	lagaayaa	lag aa yaa	lag aa yaa	lag	lag
लगी	lagii	lagii	lag ii	lag ii	lag	lag
लंगूर	languur	languur	languur	languur	languur	languur
लगे	lage	lage	lag e	lag e	lag	lag
लगेंगे	lagenge	lagenge	lag e n ge	lag e n ge	lag	lag
लड़	lar	lar	lar	lar	lar	lar
लड़ना	larnaa	larnaa	lar n aa	lar n aa	lar	lar
लड़ने	larne	larne	lar n e	lar n e	lar	lar
लहर	lahar	lahar	lahar	lahar	lahar	lahar
लहराकर	laharaakar	laharaakar	lahar aa kar	lahar aa kar	lahar	lahar
लहरों	lahrong	lahrong	lahr ong	lahr ong	lahr	lahr
लाए	laae	laae	laa e	laa e	laa	laa
लाख	laakh	laakh	laakh	laakh	laakh	laakh
लाजिमी	laajimii	laajimii	laajim ii	laajim ii	laajim	laajim
लाने	laane	laane	laa n e	laa n e	laa	laa
लाम	laam	laam	laam	laam	laam	laam
लायक	laayak	laayak	laayak	laayak	laayak	laayak
लाश	laash	laash	laash	laash	laash	laash
लिए	lie	lie	l<i> e	l<i> e	l<i>	l<i>
लिखता	likhtaa	likhtaa	likh t aa	likh t aa	likh	likh
लिखते	likhte	likhte	likh t e	likh t e	likh	likh
लिखना	likhnaa	likhnaa	likh n aa	likh n aa	likh	likh
लिखने	likhne	likhne	likh n e	likh n e	likh	likh
लिखा	likhaa	likhaa	likh aa	likh aa	likh	likh
लिखे	likhe	likhe	likh e	likh e	likh	likh
लिपटे	lipte	lipte	lipt e	lipt e	lipt	lipt
लिया	liyaa	liyaa	l<i> yaa	l<i> yaa	l<i>	l<i>
लिये	liye	liye	l<i> ye	l<i> ye	l<i>	l<i>
ली	lii	lii	l ii	l ii	l	l
लू	luu	luu	luu	luu	luu	luu
लूटना	luutnaa	luutnaa	luut naa	luut naa	luut	luut
ले	le	le	le	le	le	le
लें	leng	leng	le ng	le ng	le	le
लेकर	lekar	lekar	le kar	le kar	le	le
लेकिन	lekin	lekin	lekin	lekin	lekin	lekin
लेखकों	lekhkong	lekhkong	lekhk ong	lekhk ong	lekhk	lekhk
लेता	letaa	letaa	le t aa	le t aa	le	le
लेती	letii	letii	le t ii	le t ii	le	le
लेते	lete	lete	le t e	le t e	le	le
लेना	lenaa	lenaa	le n aa	le n aa	le	le
लेने	lene	lene	le n e	le n e	le	le
लोक	lok	lok	lok	lok	lok	lok
लोकतंत्र	loktantr	loktantr	lok tantr	lok tantr	tantr	tantr
लोकतांत्रिक	lokataantrik	lokataantrik	loka taantr ik	loka taantr ik	taantr	taantr
लोकदल	lokdal	lokdal	lok dal	lok dal	dal	dal
लोकप्रिय	lokapriy	lokapriy	loka priy	loka priy	priy	priy
लोग	log	log	log	log	log	log
लोगों	logong	logong	log ong	log ong	log	log
लोथडे	lothde	lothde	lothd e	lothd e	lothd	lothd
वक्त	vakt	vakt	vakt	vakt	vakt	vakt
वजह	vajah	vajah	vajah	vajah	vajah	vajah
वरिष्ठ	varishth	varishth	varishth	varishth	varishth	varishth
वर्तमान	vartamaan	vartamaan	vartamaan	vartamaan	vartamaan	vartamaan
वर्ष	varsh	varsh	varsh	varsh	varsh	varsh
वर्षीय	varshiiy	varshiiy	varsh iiy	varsh iiy	varsh	varsh
वर्षों	varshong	varshong	varsh ong	varsh ong	varsh	varsh
वह	vah	vah	vah	vah	vah	vah
वहाँ	vahaang	vahaang	vahaang	vahaang	vahaang	vahaang
वहां	vahaang	vahaang	vahaang	vahaang	vahaang	vahaang
वहीं	vahiing	vahiing	vahiing	vahiing	vahiing	vahiing
वाकई	vaakii	vaakii	vaak ii	vaak ii	vaak	vaak
वाकिफ	vaakiph	vaakiph	vaakiph	vaakiph	vaakiph	vaakiph
वाडी	vaadii	vaadii	vaadii	vaadii	vaadii	vaadii
वातावरण	vaataavaran	vaataavaran	vaat aavaran	vaat aavaran	aavaran	aavaran
वापस	vaapas	vaapas	vaapas	vaapas	vaapas	vaapas
वायूयान	vaayuuyaan	vaayuuyaan	vaayuu yaan	vaayuu yaan	yaan	yaan
वार्षिक	vaarshik	vaarshik	vaarsh ik	vaarsh ik	vaarsh	vaarsh
वाला	vaalaa	vaalaa	vaal aa	vaal aa	vaal	vaal
वाली	vaalii	vaalii	vaal ii	vaal ii	vaal	vaal
वाले	vaale	vaale	vaal e	vaal e	vaal	vaal
वालों	vaalong	vaalong	vaal ong	vaal ong	vaal	vaal
वासियों	vaasiyong	vaasiyong	vaas iy ong	vaas iy ong	vaas	vaas
वासी	vaasii	vaasii	vaas ii	vaas ii	vaas	vaas
वास्तविक	vaastavik	vaastavik	vaastav ik	vaastav ik	vaastav	vaastav
वाहनों	vaahnong	vaahnong	vaahn ong	vaahn ong	vaahn	vaahn
विकसित	viksit	viksit	vi ksit	vi ksit	ksit	ksit
विकास	vikaas	vikaas	vi kaas	vi kaas	kaas	kaas
विक्रय	vikray	vikray	vi kray	vi kray	kray	kray
विगत	vigat	vigat	vi gat	vi gat	gat	gat
विचार	vichhaar	vichaar	vi chhaar	vi chaar	chhaar	chaar
विज्ञान	vijnaan	vijnaan	vi jnaan	vi jnaan	jnaa	jnaa
विज्ञापन	vijnaapan	vijnaapan	vi jnaa pan	vi jnaa pan	jnaa	jnaa
विज्ञापनों	vijnaapanong	vijnaapanong	vi jnaa pan ong	vi jnaa pan ong	jnaa	jnaa
विदारक	vidaarak	vidaarak	vidaarak	vidaarak	vidaarak	vidaarak
विद्रोहियों	vidrohiyong	vidrohiyong	vi droh iy ong	vi droh iy ong	droh	droh
विद्रोही	vidrohii	vidrohii	vi droh ii	vi droh ii	droh	droh
विद्वेष	vidvesh	vidvesh	vi dvesh	vi dvesh	dvesh	dvesh
विनाश	vinaash	vinaash	vi naash	vi naash	naash	naash
विनाशकारी	vinaashakaarii	vinaashakaarii	vi naasha kaar ii	vi naasha kaar ii	kaar	kaar
विपत्ति	vipatti	vipatti	vi patti	vi patti	patti	patti
विपदाओं	vipadaaong	vipadaaong	vi padaa ong	vi padaa ong	padaa	padaa
विफलता	viphalataa	viphalataa	vi phalataa	vi phalataa	phalataa	phalataa
विभाग	vibhaag	vibhaag	vi bhaag	vi bhaag	bhaag	bhaag
विभागीय	vibhaagiiy	vibhaagiiy	vi bhaag iiy	vi bhaag iiy	bhaag	bhaag
विरोध	virodh	virodh	vi rodh	vi rodh	rodh	rodh
विरोधियो	virodhiyo	virodhiyo	vi rodhi yo	vi rodhi yo	rodhi	rodhi
विशेष	vishesh	vishesh	vi shesh	vi shesh	shesh	shesh
विशेषताएँ	visheshataaeng	visheshataaeng	vi sheshataa eng	vi sheshataa eng	sheshataa	sheshataa
विश्लेषण	vishleshan	vishleshan	vi shleshan	vi shleshan	shleshan	shleshan
विश्व	vishv	vishv	vishv	vishv	vishv	vishv
विश्वास	vishvaas	vishvaas	vi shvaas	vi shvaas	shvaas	shvaas
विषय	vishay	vishay	vi shay	vi shay	shay	shay
विषयों	vishyong	vishyong	vi shy ong	vi shy ong	shy	shy
वीर	viir	viir	viir	viir	viir	viir
वृद्धि	vriddhi	vriddhi	vriddhi	vriddhi	vriddhi	vriddhi
वे	ve	ve	ve	ve	ve	ve
वेद	ved	ved	ved	ved	ved	ved
वैज्ञानिकों	vaijnaanikong	vaijnaanikong	vai jnaan ik ong	vai jnaan ik ong	jnaan	jnaan
वैसी	vaisii	vaisii	vais ii	vais ii	vais	vais
वैसे	vaise	vaise	vais e	vais e	vais	vais
वो	vo	vo	vo	vo	vo	vo
वोटरों	votrong	votrong	votr ong	votr ong	votr	votr
वोटों	votong	votong	vot ong	vot ong	vot	vot
व्यक्ति	vyakti	vyakti	vy akti	vy akti	akti	akti
व्यंग्य	vyangy	vyangy	vy angy	vy angy	angy	angy
व्यवस्था	vyavasthaa	vyavasthaa	vy ava sthaa	vy ava sthaa	sthaa	sthaa
व्यापक	vyaapak	vyaapak	vy aapak	vy aapak	aapak	aapak
शक	shak	shak	shak	shak	shak	shak
शक्कर	shakkar	shakkar	shakkar	shakkar	shakkar	shakkar
शक्ति	shakti	shakti	shakti	shakti	shakti	shakti
शक्तिशाली	shaktishaalii	shaktishaalii	shakti shaal ii	shakti shaal ii	shaal	shaal
शनिवार	shanivaar	shanivaar	shani vaar	shani vaar	vaar	vaar
शब्द	shabd	shabd	shabd	shabd	shabd	shabd
शब्दों	shabdong	shabdong	shabd ong	shabd ong	shabd	shabd
शयनकक्ष	shayanakaksh	shayanakaksh	shayana kaksh	shayana kaksh	kaksh	kaksh
शराब	sharaab	sharaab	sharaab	sharaab	sharaab	sharaab
शराबहराम	sharaabaharaam	sharaabaharaam	sharaab aharaam	sharaab aharaam	aharaam	aharaam
शव	shav	shav	shav	shav	shav	shav
शवगृह	shavagrih	shavagrih	shava grih	shava grih	grih	grih
शवों	shavong	shavong	shav ong	shav ong	shav	shav
शहर	shahar	shahar	shahar	shahar	shahar	shahar
शहरी	shahrii	shahrii	shahr ii	shahr ii	shahr	shahr
शहरों	shahrong	shahrong	shahr ong	shahr ong	shahr	shahr
शहीद	shahiid	shahiid	shahiid	shahiid	shahiid	shahiid
शाक्शात	shaakshaat	shaakshaat	shaaksh aat	shaaksh aat	shaaksh	shaaksh
शांत	shaant	shaant	shaant	shaant	shaant	shaant
शान्ति	shaanti	shaanti	shaanti	shaanti	shaanti	shaanti
शाम	shaam	shaam	shaam	shaam	shaam	shaam
शामिल	shaamil	shaamil	shaamil	shaamil	shaamil	shaamil
शायद	shaayad	shaayad	shaayad	shaayad	shaayad	shaayad
शायर	shaayar	shaayar	shaayar	shaayar	shaayar	shaayar
शासकीय	shaaskiiy	shaaskiiy	shaask iiy	shaask iiy	shaasky	shaasky
शासन	shaasan	shaasan	shaasan	shaasan	shaasan	shaasan
शाहिद	shaahid	shaahid	shaahid	shaahid	shaahid	shaahid
शिक्षक	shikshak	shikshak	shikshak	shikshak	shikshak	shikshak
शिशु	shishu	shishu	shishu	shishu	shishu	shishu
शीघ्र	shiighr	shiighr	shiighr	shiighr	shiighr	shiighr
शुक्रवार	shukravaar	shukravaar	shukra vaar	shukra vaar	vaar	vaar
शुक्रिया	shukriyaa	shukriyaa	shukriyaa	shukriyaa	shukriyaa	shukriyaa
शुक्ला	shuklaa	shuklaa	shuklaa	shuklaa	shuklaa	shuklaa
शुधवार	shudhvaar	shudhvaar	shudh vaar	shudh vaar	vaar	vaar
शुभकामनाएँ	shubhakaamanaaeng	shubhakaamanaaeng	shubha kaamanaa eng	shubha kaamanaa eng	kaamanaa	kaamanaa
शुरू	shuruu	shuruu	shuruu	shuruu	shuruu	shuruu
शुरूआत	shuruuaat	shuruuaat	shuruu aat	shuruu aat	shuruut	shuruut
शुष्क	shushk	shushk	shushk	shushk	shushk	shushk
शेवटचा	shevatachhaa	shevatachaa	shevatachhaa	shevatachaa	shevatachhaa	shevatachaa
शेष	shesh	shesh	shesh	shesh	shesh	shesh
शोध	shodh	shodh	shodh	shodh	shodh	shodh
शोधकर्ताओं	shodhakartaaong	shodhakartaaong	shodha kartaa ong	shodha kartaa ong	kartaa	kartaa
श्रद्धांजलि	shraddhaanjali	shraddhaanjali	shraddha anjali	shraddha anjali	anjali	anjali
श्री	shrii	shrii	shrii	shrii	shrii	shrii
श्रेणी	shrenii	shrenii	shrenii	shrenii	shrenii	shrenii
श्रेष्ठ	shreshth	shreshth	shreshth	shreshth	shreshth	shreshth
संकट	sankat	sankat	sankat	sankat	sankat	sankat
सकता	saktaa	saktaa	sak t aa	sak t aa	sak	sak
सकती	saktii	saktii	sak t ii	sak t ii	sak	sak
सकते	sakte	sakte	sak t e	sak t e	sak	sak
सकने	sakne	sakne	sak n e	sak n e	sak	sak
सका	sakaa	sakaa	sak aa	sak aa	sak	sak
सके	sake	sake	sak e	sak e	sak	sak
सकें	sakeng	sakeng	sak e ng	sak e ng	sak	sak
सकेगा	sakegaa	sakegaa	sak e g aa	sak e g aa	sak	sak
सख्त	sakht	sakht	sakht	sakht	sakht	sakht
संख्या	sankhyaa	sankhyaa	san khyaa	san khyaa	khyaa	khyaa
संघ	sangh	sangh	san gh	san gh	gh	gh
संघर्षों	sangharshong	sangharshong	san gharsh ong	san gharsh ong	gharsh	gharsh
सजा	sajaa	sajaa	saj aa	saj aa	saj	saj
सज़ा	sazaa	sazaa	saz aa	saz aa	saz	saz
सज़ा	sazaa	sazaa	saz aa	saz aa	saz	saz
सटे	sate	sate	sat e	sat e	sat	sat
सड़क	sark	sark	sark	sark	sark	sark
सड़कें	sarkeng	sarkeng	sark eng	sark eng	sark	sark
सड़कों	sarkong	sarkong	sark ong	sark ong	sark	sark
संत	sant	sant	sant	sant	sant	sant
सत्य	saty	saty	saty	saty	saty	saty
सत्र	satr	satr	satr	satr	satr	satr
सदस्य	sadasy	sadasy	sadasy	sadasy	sadasy	sadasy
सदस्यीय	sadasyiiy	sadasyiiy	sadasy iiy	sadasy iiy	sadasy	sadasy
सदैव	sadaiv	sadaiv	sadaiv	sadaiv	sadaiv	sadaiv
सन्नाटा	sannaataa	sannaataa	sannaat aa	sannaat aa	sannaat	sannaat
सपनों	sapnong	sapnong	sapn ong	sapn ong	sapn	sapn
सप्ताह	saptaah	saptaah	saptaah	saptaah	saptaah	saptaah
सप्ताहांत	saptaahaant	saptaahaant	saptaaha ant	saptaaha ant	ant	ant
सप्ताहों	saptaahong	saptaahong	saptaah ong	saptaah ong	saptaah	saptaah
सफल	saphal	saphal	sa phal	sa phal	phal	phal
सब	sab	sab	sab	sab	sab	sab
सबक	sabak	sabak	sabak	sabak	sabak	sabak
सबकुछ	sabkuchh	sabkuchh	sab kuchh	sab kuchh	kuchh	kuchh
सबसे	sabse	sabse	sab se	sab se	sab	sab
सब्जियों	sabjiyong	sabjiyong	sabj iy ong	sabj iy ong	sabj	sabj
संभाल	sambhaal	sambhaal	sambhaal	sambhaal	sambhaal	sambhaal
संभालने	sambhaalane	sambhaalane	sambhaala n e	sambhaala n e	sambhaala	sambhaala
संभावनाएं	sambhaavanaaeng	sambhaavanaaeng	sam bhaavanaa eng	sam bhaavanaa eng	bhaavanaa	bhaavanaa
सभी	sabhii	sabhii	sab hii	sab hii	sab	sab
समझ	samajh	samajh	samajh	samajh	samajh	samajh
समझते	samajhate	samajhate	samajha t e	samajha t e	samajha	samajha
समझने	samajhane	samajhane	samajha n e	samajha n e	samajha	samajha
समझेंगे	samajhenge	samajhenge	samajh e n g e	samajh e n g e	samajh	samajh
समझौता	samajhautaa	samajhautaa	samajhaut aa	samajhaut aa	samajhaut	samajhaut
समय	samay	samay	sa may	sa may	ay	ay
समर्थ	samarth	samarth	sam arth	sam arth	arth	arth
समस्याओं	samasyaaong	samasyaaong	sam asyaa ong	sam asyaa ong	asyaa	asyaa
समाचार	samaachhaar	samaachaar	sam aa chhaar	sam aa chaar	chhaar	chaar
समाज	samaaj	samaaj	sam aaj	sam aaj	aaj	aaj
समाजवादी	samaajavaadii	samaajavaadii	sam aaja vaad ii	sam aaja vaad ii	vaad	vaad
समान	samaan	samaan	samaan	samaan	samaan	samaan
समीप	samiip	samiip	samiip	samiip	samiip	samiip
समुद्र	samudr	samudr	sam udr	sam udr	udr	udr
समूह	samuuh	samuuh	sam uuh	sam uuh	uuh	uuh
सम्मेलन	sammelan	sammelan	sam melan	sam melan	melan	melan
संयुक्त	sanyukt	sanyukt	san yukt	san yukt	yukt	yukt
संयोग	sanyog	sanyog	san yog	san yog	yog	yog
सरकार	sarkaar	sarkaar	sarkaar	sarkaar	sarkaar	sarkaar
सरकारी	sarakaarii	sarakaarii	sarakaar ii	sarakaar ii	sarakaar	sarakaar
सरकारों	sarakaarong	sarakaarong	sarakaar ong	sarakaar ong	sarakaar	sarakaar
सरदार	sardaar	sardaar	sardaar	sardaar	sardaar	sardaar
सराहना	saraahanaa	saraahanaa	saraaha n aa	saraaha n aa	saraaha	saraaha
सरोवर	sarovar	sarovar	sarovar	sarovar	sarovar	sarovar
सर्वश्रेष्ठ	sarvashreshth	sarvashreshth	sarva shreshth	sarva shreshth	shreshth	shreshth
सलाम	salaam	salaam	salaam	salaam	salaam	salaam
सलाहकार	salaahakaar	salaahakaar	salaaha kaar	salaaha kaar	kaar	kaar
सवर्ण	savarn	savarn	sa varn	sa varn	varn	varn
सवार	savaar	savaar	savaar	savaar	savaar	savaar
सवाल	savaal	savaal	savaal	savaal	savaal	savaal
संवेदनशीलता	sanvedanashiilataa	sanvedanashiilataa	san vedana shiilataa	san vedana shiilataa	shiilataa	shiilataa
संवेदनाएं	sanvedanaaeng	sanvedanaaeng	san vedanaa eng	san vedanaa eng	vedanaa	vedanaa
संवेदनाओं	sanvedanaaong	sanvedanaaong	san vedanaa ong	san vedanaa ong	vedanaa	vedanaa
संसद	sansad	sansad	san sad	san sad	sad	sad
संस्कृतीरक्षा	sanskritiirakshaa	sanskritiirakshaa	sans kritii rakshaa	sans kritii rakshaa	rakshaa	rakshaa
सह	sah	sah	sah	sah	sah	sah
सहमत	sahmat	sahmat	sah mat	sah mat	mat	mat
सहयोग	sahyog	sahyog	sah yog	sah yog	yog	yog
सहायक	sahaayak	sahaayak	sahaa yak	sahaa yak	sahaayak	sahaayak
सहायता	sahaayataa	sahaayataa	sahaayataa	sahaayataa	sahaayataa	sahaayataa
सहायतार्थ	sahaayataarth	sahaayataarth	sahaayata arth	sahaayata arth	arth	arth
संहार	sanhaar	sanhaar	san haar	san haar	haar	haar
सहारे	sahaare	sahaare	sahaar e	sahaar e	sahaar	sahaar
सहित	sahit	sahit	sah it	sah it	sahit	sahit
सही	sahii	sahii	sah ii	sah ii	sah	sah
सहेज	sahej	sahej	sahej	sahej	sahej	sahej
साझेदारी	saajhedaarii	saajhedaarii	saajhe daar ii	saajhe daar ii	daar	daar
सात	saat	saat	saat	saat	saat	saat
साथ	saath	saath	saath	saath	saath	saath
सादर	saadar	saadar	saadar	saadar	saadar	saadar
सादे	saade	saade	saad e	saad e	saad	saad
साध	saadh	saadh	saadh	saadh	saadh	saadh
साधना	saadhnaa	saadhnaa	saadh n aa	saadh n aa	saadh	saadh
साफ	saaph	saaph	saaph	saaph	saaph	saaph
साब	saab	saab	saab	saab	saab	saab
साबित	saabit	saabit	saabit	saabit	saabit	saabit
साभार	saabhaar	saabhaar	saabhaar	saabhaar	saabhaar	saabhaar
सामजिक	saamjik	saamjik	saam j ik	saam j ik	j	j
सामना	saamnaa	saamnaa	saamn aa	saamn aa	saamn	saamn
सामने	saamne	saamne	saamn e	saamn e	saamn	saamn
सामाजिक	saamaajik	saamaajik	saam aaj ik	saam aaj ik	aaj	aaj
सामान	saamaan	saamaan	saamaan	saamaan	saamaan	saamaan
सामान्य	saamaany	saamaany	saamaany	saamaany	saamaany	saamaany
सामील	saamiil	saamiil	saamiil	saamiil	saamiil	saamiil
सामुदायिक	saamudaayik	saamudaayik	saam ud aay ik	saam ud aay ik	udy	udy
सामूहिक	saamuuhik	saamuuhik	saam uuh ik	saam uuh ik	uuh	uuh
साया	saayaa	saayaa	saay aa	saay aa	saay	saay
सारे	saare	saare	saar e	saar e	saar	saar
साल	saal	saal	saal	saal	saal	saal
सालों	saalong	saalong	saal ong	saal ong	saal	saal
सावधान	saavdhaan	saavdhaan	saavdhaan	saavdhaan	saavdhaan	saavdhaan
साहनी	saahnii	saahnii	saahn ii	saahn ii	saahn	saahn
सिखाया	sikhaayaa	sikhaayaa	sikh aa yaa	sikh aa yaa	sikh	sikh
सियासत	siyaasat	siyaasat	siyaas at	siyaas at	siyaas	siyaas
सियासी	siyaasii	siyaasii	siyaas ii	siyaas ii	siyaas	siyaas
सिर	sir	sir	sir	sir	sir	sir
सिरे	sire	sire	sir e	sir e	sir	sir
सिर्फ	sirph	sirph	sirph	sirph	sirph	sirph
सिर्फ़	sirf	sirf	sirf	sirf	sirf	sirf
सिंह	sinh	sinh	sinh	sinh	sinh	sinh
सीखना	siikhnaa	siikhnaa	siikh n aa	siikh n aa	siikh	siikh
सीटों	siitong	siitong	siit ong	siit ong	siit	siit
सीढ़ी	siirhii	siirhii	siirh ii	siirh ii	siirh	siirh
सीमा	siimaa	siimaa	siimaa	siimaa	siimaa	siimaa
सीमाओं	siimaaong	siimaaong	siimaa ong	siimaa ong	siimaa	siimaa
सीमायें	siimaayeng	siimaayeng	siimaa yeng	siimaa yeng	siimaa	siimaa
सुझाव	sujhaav	sujhaav	sujh aav	sujh aav	sujh	sujh
सुंदर	sundar	sundar	sundar	sundar	sundar	sundar
सुनाते	sunaate	sunaate	sun aa t e	sun aa t e	sun	sun
सुनी	sunii	sunii	sun ii	sun ii	sun	sun
सुपुर्द	supurd	supurd	supurd	supurd	supurd	supurd
सुबह	subah	subah	subah	subah	subah	subah
सुरक्षा	surakshaa	surakshaa	su rakshaa	su rakshaa	rakshaa	rakshaa
सुरक्षित	surakshit	surakshit	su raksh it	su raksh it	raksh	raksh
सुरंग	surang	surang	surang	surang	surang	surang
सुर्खी	surkhii	surkhii	surkh ii	surkh ii	surkh	surkh
सुहडा	suhdaa	suhdaa	suhd aa	suhd aa	suhd	suhd
सूक	suuk	suuk	suuk	suuk	suuk	suuk
सूखा	suukhaa	suukhaa	suukh aa	suukh aa	suukh	suukh
सूखी	suukhii	suukhii	suukh ii	suukh ii	suukh	suukh
सूखे	suukhe	suukhe	suukh e	suukh e	suukh	suukh
सूचना	suuchhnaa	suuchnaa	suuchhnaa	suuchnaa	suuchhnaa	suuchnaa
सूचित	suuchhit	suuchit	suuchh it	suuch it	suuchh	suuch
सूझता	suujhtaa	suujhtaa	suujht aa	suujht aa	suujht	suujht
सूतक	suutak	suutak	suutak	suutak	suutak	suutak
सूत्र	suutr	suutr	suutr	suutr	suutr	suutr
सूत्रों	suutrong	suutrong	suutr ong	suutr ong	suutr	suutr
सूरज	suuraj	suuraj	suuraj	suuraj	suuraj	suuraj
से	se	se	se	se	se	se
सेतु	setu	setu	setu	setu	setu	setu
सेना	senaa	senaa	senaa	senaa	senaa	senaa
सेब	seb	seb	seb	seb	seb	seb
सेल	sel	sel	sel	sel	sel	sel
सेवा	sevaa	sevaa	sevaa	sevaa	sevaa	sevaa
सेवाएँ	sevaaeng	sevaaeng	sevaa eng	sevaa eng	sevaa	sevaa
सेहत	sehat	sehat	sehat	sehat	sehat	sehat
सैनिक	sainik	sainik	s<ai>n ik	s<ai>n ik	s<ai>n	s<ai>n
सैनिकों	sainikong	sainikong	s<ai>n ik ong	s<ai>n ik ong	s<ai>n	s<ai>n
सैलाब	sailaab	sailaab	sailaab	sailaab	sailaab	sailaab
सो	so	so	so	so	so	so
सोचने	sochhne	sochne	sochh n e	soch n e	sochh	soch
सोमवार	somvaar	somvaar	som vaar	som vaar	vaar	vaar
सौ	sau	sau	sau	sau	sau	sau
सौदा	saudaa	saudaa	saud aa	saud aa	saud	saud
स्कूलों	skuulong	skuulong	skuul ong	skuul ong	skuul	skuul
स्थान	sthaan	sthaan	sthaan	sthaan	sthaan	sthaan
स्थानीय	sthaaniiy	sthaaniiy	sthaan iiy	sthaan iiy	sthaan	sthaan
स्थानों	sthaanong	sthaanong	sthaan ong	sthaan ong	sthaan	sthaan
स्थित	sthit	sthit	sthit	sthit	sthit	sthit
स्थिति	sthiti	sthiti	sthiti	sthiti	sthiti	sthiti
स्पष्ट	spasht	spasht	spasht	spasht	spasht	spasht
स्वयं	svayang	svayang	svayang	svayang	svayang	svayang
स्‍वामी	svaamii	svaamii	svaamii	svaamii	svaamii	svaamii
स्वार्थ	svaarth	svaarth	sva arth	sva arth	arth	arth
स्वार्थों	svaarthong	svaarthong	sva arth ong	sva arth ong	arth	arth
स्वीकार	sviikaar	sviikaar	sviikaar	sviikaar	sviikaar	sviikaar
हज	haj	haj	haj	haj	haj	haj
हजार	hajaar	hajaar	hajaar	hajaar	hajaar	hajaar
हज़ार	hazaar	hazaar	hazaar	hazaar	hazaar	hazaar
हजारों	hajaarong	hajaarong	hajaar ong	hajaar ong	hajaar	hajaar
हटाए	hataae	hataae	hat aa e	hat aa e	hat	hat
हटाना	hataanaa	hataanaa	hat aa n aa	hat aa n aa	hat	hat
हड़ताल	hartaal	hartaal	hartaal	hartaal	hartaal	hartaal
हताश	hataash	hataash	hataash	hataash	hataash	hataash
हत्या	hatyaa	hatyaa	hatyaa	hatyaa	hatyaa	hatyaa
हथेलियां	hatheliyaang	hatheliyaang	hathel iy aang	hathel iy aang	hathel	hathel
हथेलियों	hatheliyong	hatheliyong	hathel iy ong	hathel iy ong	hathel	hathel
हद	had	had	had	had	had	had
हफ्ते	haphte	haphte	hapht e	hapht e	hapht	hapht
हम	ham	ham	ham	ham	ham	ham
हमला	hamlaa	hamlaa	haml aa	haml aa	haml	haml
हमले	hamle	hamle	haml e	haml e	haml	haml
हमलों	hamlong	hamlong	haml ong	haml ong	haml	haml
हमारा	hamaaraa	hamaaraa	hamaar aa	hamaar aa	hamaar	hamaar
हमारी	hamaarii	hamaarii	hamaar ii	hamaar ii	hamaar	hamaar
हमारे	hamaare	hamaare	hamaar e	hamaar e	hamaar	hamaar
हमें	hameng	hameng	ham eng	ham eng	ham	ham
हमेशा	hameshaa	hameshaa	hameshaa	hameshaa	hameshaa	hameshaa
हर	har	har	har	har	har	har
हल	hal	hal	hal	hal	hal	hal
हवा	havaa	havaa	havaa	havaa	havaa	havaa
हवाई	havaaii	havaaii	havaa ii	havaa ii	havaa	havaa
हवाएं	havaaeng	havaaeng	havaa eng	havaa eng	havaa	havaa
हवाओं	havaaong	havaaong	havaa ong	havaa ong	havaa	havaa
हस्तक्षेप	hastakshep	hastakshep	hasta kshep	hasta kshep	kshep	kshep
हाथ	haath	haath	haath	haath	haath	haath
हाथों	haathong	haathong	haath ong	haath ong	haath	haath
हादसा	haadsaa	haadsaa	haads aa	haads aa	haads	haads
हादसे	haadse	haadse	haads e	haads e	haads	haads
हानि	haani	haani	haani	haani	haani	haani
हार	haar	haar	haar	haar	haar	haar
हारे	haare	haare	haar e	haar e	haar	haar
हार्दिक	haardik	haardik	haard ik	haard ik	haard	haard
हाल	haal	haal	haal	haal	haal	haal
हालत	haalat	haalat	haalat	haalat	haalat	haalat
हालांकि	haalaanki	haalaanki	haalaanki	haalaanki	haalaanki	haalaanki
हासिल	haasil	haasil	haasil	haasil	haasil	haasil
हास्य	haasy	haasy	haasy	haasy	haasy	haasy
हिंदूवाद	hinduuvaad	hinduuvaad	hinduu vaad	hinduu vaad	vaad	vaad
हिंदूवादी	hinduuvaadii	hinduuvaadii	hinduu vaad ii	hinduu vaad ii	vaad	vaad
हिन्दू	hinduu	hinduu	hinduu	hinduu	hinduu	hinduu
हिमस्खन	himaskhan	himaskhan	hima skhan	hima skhan	skhan	skhan
हिमस्खलन	himaskhalan	himaskhalan	hima skhalan	hima skhalan	skhalan	skhalan
हिसाब	hisaab	hisaab	hisaab	hisaab	hisaab	hisaab
हिसार	hisaar	hisaar	hisaar	hisaar	hisaar	hisaar
हिस्सा	hissaa	hissaa	hiss aa	hiss aa	hiss	hiss
हिस्से	hisse	hisse	hiss e	hiss e	hiss	hiss
हिस्सों	hissong	hissong	hiss ong	hiss ong	hiss	hiss
ही	hii	hii	hii	hii	hii	hii
हुआ	huaa	huaa	h<u> aa	h<u> aa	h<u>	h<u>
हुई	huii	huii	h<u> ii	h<u> ii	h<u>	h<u>
हुईं	huiing	huiing	h<u> ii ng	h<u> ii ng	h<u>	h<u>
हुए	hue	hue	h<u> e	h<u> e	h<u>	h<u>
हुये	huye	huye	h<u> ye	h<u> ye	h<u>	h<u>
